market,ma,ngay,gia_dong_cua,gia_tri_thay_doi,phan_tram_thay_doi,gia_tham_chieu,gia_mo_cua,gia_cao_nhat,gia_thap_nhat,khoi_luong_giao_dich_khop_lenh,gia_tri_giao_dich_khop_lenh,khoi_luong_giao_dich_thoa_thuan,gia_tri_giao_dich_thoa_thuan
HOSE,TDH,2022-11-22,3.0,0.05,0.0169,2.95,3.15,3.15,3.0,180700,552000000,0,0
HOSE,BMP,2022-11-22,54.8,0.9,0.0167,53.9,54.7,54.8,54.0,123800,6744000000,0,0
HOSE,TVT,2022-11-22,24.4,0.4,0.0167,24.0,22.5,24.4,22.5,5100,124000000,0,0
HOSE,LHG,2022-11-22,19.0,0.3,0.016,18.7,18.9,20.0,18.9,387200,7530000000,0,0
HOSE,SSI,2022-11-22,16.35,0.25,0.0155,16.1,15.9,17.0,15.9,29655000,488179000000,0,0
HOSE,ITA,2022-11-22,3.3,0.05,0.0154,3.25,3.25,3.47,3.2,4198900,14217000000,0,0
HOSE,VNL,2022-11-22,20.0,0.3,0.0152,19.7,19.55,21.0,19.55,8400,173000000,0,0
HOSE,NHH,2022-11-22,13.4,0.2,0.0152,13.2,13.4,13.6,12.95,290800,3846000000,0,0
HOSE,VOS,2022-11-22,7.6,0.11,0.0147,7.49,7.5,7.97,7.46,957100,7376000000,0,0
HOSE,FCN,2022-11-22,7.7,0.11,0.014499999999999999,7.59,7.45,8.12,7.45,3206400,25570000000,0,0
HOSE,AAM,2022-11-22,10.65,0.15,0.0143,10.5,10.5,11.2,10.45,4300,45000000,0,0
HOSE,SII,2022-11-22,14.4,0.2,0.0141,14.2,13.25,14.4,13.25,1600,21000000,0,0
HOSE,OCB,2022-11-22,14.55,0.2,0.0139,14.35,14.35,14.95,14.2,1623700,23669000000,75000,1080000000
HOSE,BSI,2022-11-22,15.0,0.2,0.013500000000000002,14.8,14.65,15.75,14.3,720500,10913000000,0,0
HOSE,CTR,2022-11-22,42.65,0.55,0.0131,42.1,42.0,43.5,41.15,341900,14573000000,0,0
HOSE,VTB,2022-11-22,11.95,0.15,0.0127,11.8,11.7,11.95,11.7,600,7000000,0,0
HOSE,C47,2022-11-22,7.19,0.09,0.0127,7.1,7.0,7.45,6.9,118800,859000000,0,0
HOSE,FDC,2022-11-22,20.0,0.25,0.0127,19.75,18.4,20.0,18.4,3700,71000000,1100000,20240000000
HOSE,PTB,2022-11-22,37.35,0.45,0.012199999999999999,36.9,36.2,38.3,36.2,461500,17164000000,0,0
